symbol,close,high,low,ema,ema_cross,ema_diff,position,min_qty,quantity
BTC-USDT,99704.6,99771.8,99671.9,99439.1351,99417.0289,0.07,BUY,0.0001,0.001
ETH-USDT,3374.28,3376.51,3372.25,3378.822,3373.7551,0.14,HOLD,0.01,0.03
BNB-USDT,710.68,710.7,710.0,708.2223,697.0339,0.07,HOLD,0.01,0.14
ADA-USDT,1.05571,1.05644,1.05349,1.0543,1.0543,0.14,HOLD,3.0,98.2
XRP-USDT,3.1,3.1039,3.0821,3.0036,2.7817,0.14,HOLD,1.0,31.8
AVAX-USDT,39.251,39.273,39.181,39.0999,39.0808,0.14,HOLD,1.0,2.7
SOL-USDT,202.81,202.926,202.635,201.1486,188.18846788635213,0.14,HOLD,1.0,0.5
SUI-USDT,4.6791,4.68011,4.67,4.7218,4.7251,0.14,HOLD,2.0,22.4
TRX-USDT,0.23745,0.23745,0.23709,0.2339,0.2229,0.14,HOLD,9.0,449.0
